# "Loading... ","加载中... "
"Quickstart guide","快速入门指南","b"
"Control panel","控制面板","b"
"Dwarf Fortress","矮人要塞","c"
"Histories of Greed and Tenacity","贪婪与韧性的编年史","c"
"Histories of Greed and Toil","贪婪与辛劳的编年史","c"
"Histories of Jealousy and Mettle","嫉妒与勇气的编年史","c"
"Histories of Avarice and Exertion","贪婪与努力的编年史","c"
"Histories of Gluttony and Diligence","暴食与勤奋的编年史","c"
"Histories of Gluttony and Exertion","暴食与努力的编年史","c"
"Histories of Avarice and Dynamism","贪婪与活力的编年史","c"
"Histories of Jealousy and Resourcefulness","嫉妒与智谋的编年史","c"
"Histories of Jealousy and Tenacity","嫉妒与韧性的编年史","c"
# "Virtual keyboard for typing with the mouse.",""
"World name","世界名称"
"Finalizing...","完成中..."
"Creating Elathu Inala, \"The Domain of Portents\"","创建埃拉苏·伊纳拉,"预兆之域\""
"Preparing elevation...","准备海拔..."
"Iron Gold Silver Copper Nickel Zinc","铁金银铜镍锌"
"Setting temperature...","设置温度..."
"Running rivers...","流淌河流..."
"Forming lakes...","形成湖泊..."
"The Steppe of Yore","昔日草原"
"In the midspring of 0, the roc Rorte Hoaryjungle the Shells of Stone routed","在{d}年的仲春,巨鸟罗特·灰白丛林·石之壳击溃了"
"Stream: Lasteagle","溪流:最后鹰"
"Brook: Salvedoctrines the Surpris...","溪流:治疗教义惊人的..."
"Doctrine.","教义."
"In 0, the human Isi Lenslilac became the most sacred number of The Wondrous","在{d}年,人类伊西·镜头丁香成为了奇妙之神最神圣的数字"
"Events: 0","事件:{d}"
"Stream: Shriekuttered the Dismal ...","溪流:尖叫说出阴郁的..."
"In 0, the human Usmok Crewedecho constructed Bathedbirths for The Gristly","在{d}年,人类乌斯莫克·船员回声为格里斯特里建造了沐浴诞生"
"Stream: The Garnish of Dumping","溪流:倾倒的装饰"
"Communion.","圣餐."
"The Clash-Hills of Mortifying","羞辱的冲突山丘"
"The Chamber of Symmetries of The Routed Bolts and destroyed Fiercediamonds.","被击溃的螺栓的对称密室和摧毁的凶猛钻石."
"The Hills of Eviscerating","解剖的山丘"
"The Field of Mastery","掌控之野"
"The Hill of Amusement","娱乐之山"
"The Hill of Shearing","剪切之山"
"Importing wildlife...","导入野生动物..."
"Trees: Heavily Forested","树木:茂密森林"
"In the early spring of 0, The Lies of Revolting constructed Lootmenaced.","在{d}年的早春,令人作呕的谎言建造了战利品威胁."
"Stream: Watchworshipped","溪流:观看崇拜"
"Dorenoltar","多伦塔尔"
"Temperature: Cold","温度:寒冷"
"Heavy aquifer","重含水层"
"Temperate Conifer Forest","温带针叶林"
"Running rivers... (0)","流淌河流...({d})"
"Ber Scorpiondisgust.","伯·蝎子厌恶."
"The Veiled Hill","面纱之山"
"Stran sbu","斯特兰·斯布"
"Temperature: Warm","温度:温暖"
"Throwerseeds became the druid of The Howls of Celebration.","投掷种子成为了庆祝嚎叫的德鲁伊."
"The Hill of Finding","发现之山"
"Some soil","一些土壤"
"In 0, the elf Niri Willwood became the druid of The Poet of Lances.","在{d}年,精灵尼里·威尔伍德成为了长矛诗人的德鲁伊."
"Brook: Dullstops the Rosy Evil","溪流:沉闷停止玫瑰邪恶"
"The Ignoble Water","卑劣之水"
"Stream: Focussubmerge the Line of...","溪流:专注淹没线..."
"The Continent of Shooting","射击大陆"
"Brook: Saintgold the Insect of Ja...","溪流:圣金甲虫..."
"Keep world and return to main menu","保持世界并返回主菜单","c"
"Play now","开玩","c"
"Play now!","开始游戏!","c"
"The Forest of Wishing","许愿森林"
"Other Vegetation: Thick","其他植被:茂密"
"Stream: Pointedhandles the Immora...","溪流:尖柄不道德..."
"Elven forest retreat","精灵森林隐退处"
"Shallow Clay","浅粘土"
"Shallow Sand","浅沙"
"Platinum Tin Lead","铂金锡铅"
"Tropical Grassland","热带草原"
"Flux stone layer","助熔石层"
"The Oily Oceans","油性海洋"
"Temperature: Hot","温度:炎热"
"Other Vegetation: None","其他植被:无"
"Surroundings: Calm","周围环境:平静"
"Very deep soil","非常深的土壤"
"The Umber Desert","棕土沙漠"
"Trees: Scarce","树木:稀少"
"The Plain of Whispering","低语平原"
"Brook: Hexspoke","溪流:六辐条"
"Trees: Sparse","树木:稀疏"
"Brook: Paintmirthful","溪流:涂漆欢乐"
"The Cradled Jungles","被拥抱的丛林"
"Iron Gold Silver Copper Zinc","铁金银铜锌"
"Temperature: Temperate","温度:温带"
"Temperate Freshwater Marsh","温带淡水沼泽"
"Clay","粘土"
"Brook: Destinedhollows the Consid...","溪流:命中注定空洞考虑..."
"The Jungle of Spirit","精神丛林"
"Temperate Saltwater Swamp","温带盐水沼泽"
"Brook: Suckedclasp","溪流:被吸住"
"Stream: The Foolish Bend","溪流:愚蠢的弯曲"
"Stream: Morningsnarled","溪流:早晨纠缠"
"Brook: Pocketgem the Inconvenienc...","溪流:口袋宝石不便..."
"Brook: Tongueswaddle","溪流:舌包裹"
"Temperate Grassland","温带草原"
"Brook: Scorncontrols","溪流:蔑视控制"
"Brook: Confusedchestnut the Intri...","溪流:困惑栗子复杂..."
"Brook: Tacticrazors the Chip of S...","溪流:战术剃刀芯片..."
"Stream: Palehum the Canyon of Sca...","溪流:苍白嗡嗡峡谷..."
"The Seas of Defense","防御之海"
"Surroundings: Haunted","周围环境:闹鬼"
"The Hill of Roofs","屋顶之山"
"Brook: Metalteacher","溪流:金属老师"
"Brook: The Rift of Beetles","溪流:甲虫裂缝"
"Likotathel","利科塔塞尔"
"Dwarven hillocks","矮人小丘"
"Multiple Constructions","多重建造"
"Stream: Confusedcloset the Scanda...","溪流:困惑衣橱丑闻..."
"Walledcrests\"","围墙顶\""
"Stream: The Rift of Beetles","溪流:甲虫裂缝"
"Surroundings: Sinister","周围环境:邪恶"
"Stream: Maroonkilled the Olive Be...","溪流:栗色杀死橄榄..."
"Stream: Reliefhandled the Crewed ...","溪流:浮雕处理载人..."
"The Cremated Fields","火葬之地"
"The Strangled Land","被扼杀之地"
"The Hill of Owning","拥有之山"
"Stream: The Hoary Bone","溪流:灰白骨头"
"Brook: The Primitive Defect","溪流:原始缺陷"
"The Distracting Swamps","分散注意力的沼泽"
"Stream: Secretrouts the Leprosy o...","溪流:秘密鳟鱼麻风..."
"Stream: Nestlefog the Wines of En...","溪流:巢雾美酒..."
"Stream: Renownedbroil the Garnish...","溪流:著名争吵装饰..."
"The Mountain of Tunneling","隧道之山"
"The North Desert","北方沙漠"
"Brook: Hutsprays the Vulgarity of...","溪流:小屋喷洒粗俗..."
"Stream: Sliverscoured the Early O...","溪流:碎片冲刷早期..."
"Brook: Spurtmeet","溪流:喷射相遇"
"The Hill of Dikes","堤坝之山"
"Stream: Saffronsnarling","溪流:藏红花咆哮"
"Stream: Freecusps","溪流:自由尖点"
"Brook: Hobbledrisk the Sanctuary ...","溪流:跛行风险庇护所..."
"Brook: The Ocean of Dressing","溪流:调味海洋"
"Brook: Cuddledcold","溪流:拥抱寒冷"
"Iron Gold Silver Copper Nickel","铁金银铜镍"
"Brook: Entrancegross the Salve of...","溪流:入口油腻药膏..."
"Stream: Bladestring","溪流:刀刃线"
"The Jungle of Dangers","危险丛林"
"Brook: Tinbrush","溪流:锡刷"
"Stream: The Worthy Butcher","溪流:值得的屠夫"
"Brook: The Yellow Style","溪流:黄色风格"
"The Land of Glimmers","微光之地"
"Brook: The Fiery Cake","溪流:火热蛋糕"
"Stream: Maligngarnish the Laborio...","溪流:恶性装饰勤劳..."
"Stream: Gluttonjudged","溪流:暴食判断"
"Brook: Namedjoyous the Bitter Cou...","溪流:命名欢乐苦涩..."
"Stream: Tribeapex","溪流:部落顶点"
"The Hill of Luring","诱惑之山"
"Nightmare".","噩梦"."
"Finalizing items...","正在完成物品..."
"Creating Namaanenu, "The Everseeing Planets"","正在创建 Namaanenu, "永恒守望的行星""
"Creating Namaanenu, "The Everseeing Planets" (0 rejected)","正在创建 Namaanenu, "永恒守望的行星" ({d}个被拒绝)"
"Stream: The Brilliant Cloister-Louse","溪流: 辉煌的隐修院-虱子"
"Ctrl+t: Rename world","Ctrl+t: 重命名世界"
"The Island of Delight","喜悦之岛"
"Recounting legends...","正在叙述传说..."
"Forming lakes and minerals...","正在形成湖泊和矿物..."
"Placing megabeasts...","正在放置巨兽..."
"In the late winter of 0, the goblin Nako Hatehands of The Cruelty of Breeds created the position of royal executioner as a matter of course.","在{d}年晚冬, 繁殖之残忍的哥布林 Nako Hatehands 顺理成章地创建了皇家刽子手职位."
"Making cave pops...","正在制作洞穴人口..."
"Making cave civilizations...","正在制作洞穴文明..."
"In the early winter of 0, the panther monster Nar of The Torments of Idleness created the position of chief counselor as a matter of course.","在{d}年早冬, 怠惰之折磨的黑豹怪物 Nar 顺理成章地创建了首席顾问职位."
"In 0, the dwarf D shmab Oilbold became the queen of The Even Wheel.","在{d}年, 矮人 D shmab Oilbold 成为了平等之轮的女王."
"In 0, the elf Are Townsnarl became the druid of The Folded Boar.","在{d}年, 精灵 Are Townsnarl 成为了折叠野猪的德鲁伊."
"Grizzly Hatchet of The Fortunate Guild and destroyed Shockpillars.","幸运公会的灰熊战斧摧毁了震撼柱石."
"In the midspring of 0, the hydra Nguzo Gutcankers the Gnarled Stench was struck down by a dwarf in Constructbridges.","在{d}年仲春, 扭曲恶臭的九头蛇 Nguzo Gutcankers 在建造桥梁被矮人击倒."
"In 0, the goblin Aslot Speckwraith assumed the identity "The Feral","在{d}年, 哥布林 Aslot Speckwraith 假扮为 "野性"
"In 0, the elf L ma Sprinkletaupe became the druid of The Folded Boar.","在{d}年, 精灵 L ma Sprinkletaupe 成为了折叠野猪的德鲁伊."
"In 0, The Mists of Blood of The Intricate Pine founded Sensualtrees.","在{d}年, 复杂松树的血之迷雾建立了感官之树."
"In 0, The Mirror of Stokers of The Bold Roof founded Earthsly.","在{d}年, 勇敢屋顶的煽动者之镜建立了地球之狡诈."
"In 0, the human Kima Guardedmonger constructed Speakbald for The Fellowship of Summers.","在{d}年, 人类 Kima Guardedmonger 为夏日之团建造了秃顶发言城."
"In the midsummer of 0, the dragon Diamondheats the Fire of Flames routed The","在{d}年仲夏, 火焰之火的钻石热龙击溃了"
"Light aquifer","轻度含水层"
"In 0, the goblin Stosb b Dreadentries became the master of The Barbarity of","在{d}年, 哥布林 Stosb b Dreadentries 成为了开膛破肚之野蛮的主人."
"Disembowelment.","解剖."
"In 0, the elf Lefari Jumpglaze became the druid of The Sweetness of Salves.","在{d}年, 精灵 Lefari Jumpglaze 成为了药膏之甜蜜的德鲁伊."
"In the midautumn of 0, the hydra Delado Puschanted the Superior Gall was struck down by a dwarf in Humidchannels.","在{d}年中秋, 高级胆汁的脓液咏唱九头蛇 Delado 在潮湿通道被矮人击倒."
"In 0, the goblin Mato Ruinedbad became the master of The Barbarity of","在{d}年, 哥布林 Mato Ruinedbad 成为了开膛破肚之野蛮的主人."
"In 0, the elf Covema Pearlborn became the druid of The Sweetness of Salves.","在{d}年, 精灵 Covema Pearlborn 成为了药膏之甜蜜的德鲁伊."
"In 0, The Band of Volcanos of The Sunken Union founded Maroonbreach.","在{d}年, 沉没联盟的火山乐队建立了褐红突破口."
"To recenter, press wasd or hold+drag the middle mouse button.","要重新居中, 按\a#13FD65wasd\a键或按住并拖动鼠标中键.","s"
"The Crystalline Water","水晶之水"
"Temperate Ocean","温带海洋"
"Trees: None","树木: 无"
"Surroundings: Wilderness","周围环境: 荒野"
"Little soil","少量土壤"
"Tropical Ocean","热带海洋"
"Surroundings: Untamed Wilds","周围环境: 未驯服的荒野"
"The Hill of Clefts","裂缝之山"
"Temperate Shrubland","温带灌木地"
"Trees: Woodland","树木: 林地"
"The Considerate Hill","体贴之山"
"Other Vegetation: Moderate","其他植被: 中等"
"Brook: Crimsonclutched the Wretch...","小溪: 深红抓住的可怜虫..."
"The Trussed Continents","被捆绑的大陆"
"The Cyclopean Mire","独眼巨人沼泽"
"Stream: The Garnishes of Adoring","溪流: 崇拜的装饰物"
"The Wet Land","湿润之地"
"Stream: Pustakers","溪流: 脓液索取者"
"The Delightful Plains","令人愉悦的平原"
"Brook: The Vale of Dances","小溪: 舞蹈之谷"
"Platinum Lead","铂金铅"
"The Desert of Rising","升起之沙漠"
"The Tired Continent","疲惫大陆"
"Sand Desert","沙质沙漠"
"Other Vegetation: Scarce","其他植被: 稀少"
"The Lakes of Quiescence","静止之湖群"
"Tropical Freshwater Lake","热带淡水湖"
"The Everseeing Mire","永恒凝视沼泽"
"Tropical Saltwater Marsh","热带盐水沼泽"
"Stream: Dwellingletters","溪流: 居住文字"
"The Mountainous Dune","山丘沙丘"
"Stream: Leastgarlics","溪流: 最少大蒜"
"The Mire of Sharks","鲨鱼沼泽"
"The Swamps of Bleaching","漂白沼泽群"
"Tropical Freshwater Marsh","热带淡水沼泽"
"Tropical Savanna","热带草原"
"Brook: Bandedglum","小溪: 条纹忧郁"
"The Swamp of Celebrations","庆典沼泽"
"Brook: Rhymerustic","小溪: 韵律乡村"
"The Prairie of Knots","结扣草原"
"The Righteous Island","正义之岛"
"Temperate Savanna","温带草原"
"The Steppe of Adoring","崇拜的草原"
"Stream: Bustlulls","溪流: 繁忙间歇"
"Stream: Whipsquirmed","溪流: 鞭打蠕动"
"Quick start and short tutorial?","快速开始简短的教程?","c"
"Would you like your fortress located in a forested mineral-rich region of this world where you can play through a short tutorial? Non-interactive help will be available whatever you decide.","是否通过一个简短的教程,\n让你的要塞定居在该世界中森林矿产丰富的区域?\n不管你如何决定, 非交互式帮助都会有用的.","s"
"Start tutorial","开始教程","c"
"Skip tutorial","跳过教程","c"
"Click the map to zoom in and choose your embark location.","点击地图放大并选择您的登陆地点."
"Find embark location","寻找开始地点","c"
"Reclaim/unretire","回收","c"
"Choose origin civilization","选择起源文明","c"
"A Dwarven Outpost: You have arrived. After a journey from the Mountainhomes into the forbidding wilderness beyond, your harsh trek has finally ended. Your party of seven is to make an outpost for the glory of all of Viraban.","一座矮人前哨: \a#1C1C1C你们终于抵达了.\a\n\a#1C1C1C历经从群山家园出发, 穿越险恶荒野的漫长旅程, 艰苦的跋涉至此告一段落.\a\n\a#1C1C1C你们这支七人队伍, 将在此建立一座前哨, 为Viraban全体子民赢得荣光.\a","s"
"There are almost no supplies left, but with stout labor comes sustenance. Whether by bolt, plow or hook, provide for your dwarves. You are expecting a supply caravan just before winter entombs you, but it is Spring now. Enough time to delve secure lodgings, ere the wolves get hungry.","补给所剩无几, 但只要勤勉劳作, 便能获得温饱.\n无论使用弩矢、犁铧还是鱼钩, 务必保障矮人们的生计.\n你们预计在寒冬将你们封困之前, 会有一支补给商队抵达,\n而如今正值春季——尚有充足时间挖掘出安全的居所,\n赶在狼群饥肠辘辘之前.","s"
"Preparing map...","正在准备地图..."
"Pop","人口"
"Food","食物"
"Drink","饮料"
"Seeds","种子"
"Meat","肉"
"Fish","鱼"
"Plant","植物"
"Capital","首府"
"Metropolis","都会"
"City","城市"
"Town","镇"
"Village","村庄"
"Hamlet","村镇"
"Outpost","哨站"
"Stocks","库存","c"
"Winter","冬季"
"Autumn","秋季"
"Summer","夏季"
"Early Spring","早春"
"Year 0","{d} 年"
"Elevation 0","海拔 {d}"
"Camera controls (0 of 0)","镜头控制 ({d} of {d})","c"
"Camera controls","镜头控制"
"Mining","挖掘"
"Stockpiles","储物堆"
"Woodcutting","伐木"
"Information sheets","信息表"
"Alerts","警报"
"Preparing for the caravan","为商队做准备"
"Your view is focused on one elevation at a time. To move the camera around, press w a s d or hold the middle mouse button and drag the view.","你只能一次查看一层地图. 要更改显示的层数,\n按 \a#13FD65w a s d\a 或者按住鼠标中键拖动视野.","s"
"Move the camera","移动镜头"
"Move the camera up","上滑镜头"
"Move the camera down","下拉镜头"
"To change the camera's elevation, press e and c or roll the mouse wheel. Hold shift to move faster.","要更改显示的地图层的话,按 \a#13FD65e c\a 或者\a#13FD65滚动鼠标滚轮\a.\n按住shirft键可以加速.","s"
"Next","下","d"
"Back","返回","d"
"Zoom in","放大"
"Zoom out","缩小"
"When your view is in the air above other tiles, you can see them below, but you can only interact with objects in your current elevation.","当你的视野在其他贴图上方的空气中时,你可以看到下方物体,\n但是你只能与你当前高度的物体交互.","s"
"The view will be dark underground until you begin mining.","在您开始挖掘前, 地下会是一片黑暗."
"You can move the camera to the surface with the surface button (highlighted.) The F1 hotkey will recenter on your wagon.","您用地表快捷键(高亮的)可以将摄像机移动到地表.\n热键 \a#13FD65F1\a 会将您的马车居中.","s"
"You can zoom in and out of the play area using","你可以放大或缩小游戏区域"
"Leftbracket Rightbracket, Ctrl+mouse wheel, or the indicated buttons.","\a#C0C0C0使用\a左括号/右括号\a#C0C0C0,\a Ctrl+鼠标滚轮\a#C0C0C0, 或点击指定按钮.\a","s"
"Mining (0 of 0)","挖掘 ({d} of {d})","c"
"It's time to get to work! Let's start by digging a stairwell into the ground. There may be plenty of hillside to dig into, but you'll want to seek wealth below the surface.","是时候开始工作了! 我们开始从地面挖一个楼梯井.\n也许有许多山丘需要挖掘, 但是你会想在地表之下寻找财富","s"
"Mining tasks are designated on the play area. Begin by clicking the highlighted Mining button.","采矿任务会在指定的工作区域开始作业. 首先请点击高亮的\a#E811FF开采\a按钮.","s"
"Open mining mode","打开采矿模式"
"Set digging orders.","设置挖掘命令."
"There are several ways to mine. Stairwells (selected) start at one elevation and are completed at the next.","采矿有多种方式. 选中的楼梯井从某一高度开始开凿, 并在相邻的下一层高度完工."
"Click the surface, move the camera down one level, and click the underground. Reversing the order also works.","点击\a#C0C0C0地表,\a 将镜头下移一层\a#C0C0C0, 再\a点击\a#C0C0C0地下位置; 反过来操作也同样有效.\a","s"
"Start stairway","开始楼梯"
"End stairway","结束楼梯"
"Now we'll unpause the game and let the miner finish the task. Press Space to unpause or use the highlighted controls at the top of the screen. You should pause regularly starting out.","现在我们将取消游戏暂停, 让矿工完成任务.\n按下\a#13FD65空格键\a即可取消暂停, 或者使用屏幕顶部高亮显示的控制按钮.\n在游戏初期, 建议你经常暂停操作.","s"
"Unpause","重新启动"
"Finish mining","采矿完成"
"Let's make a safe place to work. Select Regular Mining mode, to the left of Stair Mining mode.","先清出一块安全的地方吧. 选择\a#E811FF常规挖掘\a模式, 然后点击左边的\a#E811FF掘梯\a模式.","s"
"Finish setting dig orders.","结束挖掘命令设置."
"Stair mining","挖掘楼梯"
"Save and return to title menu","保存并返回游戏主菜单","c"
"Save and continue playing","保存并继续游玩","c"
"Retire the fortress (for the time being)","放弃要塞(暂时)","c"
"Abandon the fortress to ruin","遗弃此要塞","c"
"Quit without saving","退出且不保存","c"
"Return to game","返回游戏","c"
"Save to this timeline","保存到此时间线","c"
"Save to timeline folder: ","保存到时间线目录: ","c"
"Save to new timeline","保存到新的时间线","c"
"Save to new folder (same timeline)","在新的目录保存(时间线不变)","c"
"May interfere with existing saves.","可能会影响现有存档.","c"
"Do this if you want to keep the old save.","点击保存旧存档.","c"
"Recommended!","推荐!","c"
"Abandoned","废弃","c"
"Your settlement has been abandoned.","你的定居点已被废弃","c"
"Save world and return to title menu","保存世界并返回标题菜单","c"
"Really quit?","确定要退出吗?"
"Really retire?","真的累了?"
"The fort will be saved but","要塞会被保存, 但是您需要收复要塞才能玩."
"you will need to reclaim the fort to play",""
"here again.",""
"Abandon","废弃","c"
"Cancel","取消","c"
"Downward Slope","下坡"
"Open Space","开放空间"
"Cluster","簇"
"Pillar","支柱"
"scrapes","擦伤"
"Fouled Water","污水"
"Embark with a group to start a settlement.","与一群人一起出发, 开始建立一个定居点."
"Your citizens will build, mine, craft, trade, fight, and manage as you guide your outpost through its history.","在您引导前哨站发展的过程中,\n您的市民将进行建造、采矿、制作、交易、战斗和管理.","s"
"Design the shape and",""
"purpose of the fortress by issuing orders for","通过向居民下达指令, 设计要塞的形状和用途."
"the residents to follow.",""
"Granite 0","花岗岩月 {d}年"
"Slate 0","板岩月 {d}年"
"Felsite 0","霏细岩月 {d}年"
"Hematite 0","赤铁矿月 {d}年"
"Malachite 0","孔雀石月 {d}年"
"Galena 0","方铅矿月 {d}年"
"Limestone 0","石灰岩月 {d}年"
"Sandstone 0","砂岩月 {d}年"
"Timber 0","林木月 {d}年"
"Moonstone 0","月光石月 {d}年"
"Opal 0","蛋白石月 {d}年"
"Obsidian 0","黑曜石月 {d}年"
"Dolomite","白云石"
"Dig a rectangle underground big enough for a large Stockpile and some Workshops. Consider that most Workshops are 3x3 squares. Mining through the stone layers further down may take longer, but it leaves Boulders which are an essential building material.","在地下挖掘一个足够大的空间, 用以建立\a#D79B2D储物点\a和\a#D79B2D工坊\a.\n考虑到多数\a#D79B2D工坊\a都是3X3大小的正方形.\n在更深的岩层中进一步开采可能需要更多的时间,\n但是它留下了\a#FFFF11巨石\a,这是一种必不可少的建筑材料.","s"
"Later you can consider making a Meeting Area from the Zones menu. Otherwise your citizens will continue to gather by the Wagon outside.","稍后您可以考虑从\a#E811FF区域\a菜单创建一个\a#71BBB0集会区\a.\n否则您的市民将继续在外面的马车旁聚集.","s"
"Room completed (0 of 0)","房间建设完成 ({d} of {d})"
"Regular mining","常规挖掘"
"Stockpiles (0 of 0)","储物堆({d} of {d})","c"
"The supplies on the wagon are in danger of being carried off by wild creatures! It's time to build a Stockpile underground to unload them. Stockpiles are crucial to moving supplies around your fortress where they are needed.","马车上的补给有被野兽带走的危险!\n是时候在地下建造\a#D79B2D储物堆\a去卸载货物了.\n\a#D79B2D储物堆\a对于搬家是重要的供应给要塞中需要的地方.","s"
"Stockpiles are placed with the Stockpile button","储物点\a#C0C0C0位于\a\a#E811FF储物堆\a\a#C0C0C0功能键中(已高亮显示), 请点击它.\a","s"
"(highlighted.) Click it now.",""
"Open stockpile mode","打开储物堆模式"
"Set tree chopping orders.","设定树木砍伐命令."
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.","设定树木砍伐命令.\n选择树的底部, 以便樵夫能够到.\n如有必要,\n指派一名樵夫负责这项工作.","s"
"The woodcutter requires an axe.","樵夫需要一把斧头."
"Set plant gathering orders.","设置植物采集命令."
"Set wall smoothing, engraving, track carving, and fortification orders.","设置墙壁平滑, 雕刻,\n轨道雕刻和防御工事命令.","s"
"Remove mining, woodcutting, plant gathering, and smoothing orders.","取消开采, 砍伐,\n植物采集及平整命令.","s"
"Place structures and work areas that require construction materials.","放置需要建筑材料的结构和\n工作区域.","s"
"Place stockpiles for item storage.","放置物品储存的库存."
"Place zones to establish meeting areas, pastures, and more.","放置区域以建立会议区,\n牧场和更多.","s"
"Establish burrows to organize work and living spaces in larger fortresses.","在较大的堡垒中建立洞穴\n来组织工作和生活空间.","s"
"Set hauling routes for minecarts.","设置矿车运输路线."
"Set high and low traffic areas.","设置高流量和低流量区域."
"Designate items for dumping and melting, claim forbidden items and buildings, and set item visibility.","指定倾倒和熔化的物品,\n要求禁止的物品和建筑,\n并设置物品的可见性.","s"
"Show advanced options.","显示高级选项."
"Hold left button to draw.","按住左键可以画画."
"Left click to choose corners of a rectangle.","左击选择矩形的一个边角."
"Really quit without saving?","确定要不保存退出吗?"
"All of your progress since the last save will be lost.","你上次之后的所有进展存档将会丢失."
"Left click for recenter and expand options.","左键单击可重新定位和展开选项."
"Right click to dismiss.","右键点击可以解散."
"Creatures","生物"
"Residents","居民"
"Tasks","任务"
"Places","地点"
"Work orders","工作单"
"Workers","工作人员"
"Nobles and administrators","贵族和管理员"
"Objects","对象"
"Justice","正义"
"Citizens","市民"
"Pets/Livestock","宠物/牲畜"
"Farm plots","耕地"
"Siege engines","攻城器械"
"Saving game","保存"
"Dead/Missing","死亡/失踪"
"Neighbors:","邻居:"
"Nearest site: here","最近的位置: 这里"
"Nearest site: 0/0 day's travel west","最近的位置: 西方{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel north","最近的位置: 北方{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel east","最近的位置: 东方{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel south","最近的位置: 南方{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel NW","最近的位置: 西北{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel NE","最近的位置: 东北{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel SE","最近的位置: 东南{d}/{d}天的旅程"
"Nearest site: 0/0 day's travel SW","最近的位置: 西南{d}/{d}天的旅程"
"Nearest site: 0 day's travel west","最近的位置: 西方{d}天的旅程"
"Nearest site: 0 days' travel north","最近的位置: 北方{d}天的旅程"
"Nearest site: 0 days' travel east","最近的位置: 东方{d}天的旅程"
"Nearest site: 0 days' travel south","最近的位置: 南方{d}天的旅程"
"Nearest site: 0 days' travel NE","最近的位置: 东北方{d}天的旅程"
"Nearest site: 0 days' travel NW","最近的位置: 西北方{d}天的旅程"
"Nearest site: 0 days' travel SE","最近的位置: 东南方{d}天的旅程"
"Nearest site: 0 days' travel SW","最近的位置: 西南方{d}天的旅程"
"Nearest site: A day's travel west","最近的位置: 西方一天的旅程"
"Nearest site: A days' travel north","最近的位置: 北方一天的旅程"
"Nearest site: A days' travel east","最近的位置: 东方一天的旅程"
"Nearest site: A days' travel south","最近的位置: 南方一天的旅程"
"Nearest site: A days' travel NE","最近的位置: 东北方一天的旅程"
"Nearest site: A days' travel NW","最近的位置: 西北方一天的旅程"
"Nearest site: A days' travel SE","最近的位置: 东南方一天的旅程"
"Nearest site: A days' travel SW","最近的位置: 西南方一天的旅程"
"More than a day's travel","超过一天的旅行"
"Nearly a day's travel","差不多一天的旅行"
"A half day's travel","半天的旅行"
"A thousand","一千"
"A few hundred","几百"
"Two thousand","两千"
"Elves","精灵"
"Humans","人类"
"Goblins","哥布林"
"Hostile, four thousand","敌对, 四千"
"Alerts (0 of 0)","警报 ({d} of {d})"
"This is an example urgent alert!","这就是一个紧急警告."
"These are very important.","这些都很重要."
"Ignore them at","忽视它们会非常危险."
"your peril.",""
"Dismiss the large red alert","解除大范围红色警戒"
"You can recenter on certain announcements.","你可以重新定位某些通告."
"Right click to close.","点击右键关闭."
"Important and sometimes urgent information is given as alerts on the left side of the screen. There has been one already!","重要且有时是紧急的信息会在屏幕左侧以警报的形式显示.\n已经有一个了!","s"
"Hover over an alert icon to see the information. Left click on an alert for recentering options, and right click to dismiss an alert.","把鼠标停留在警告标签上来查看详细信息.\n左键单击以打开警报,右键单击以关闭警报.","s"
"Preparing for the Caravan (0 of 0)","为商队的到来做好准备 ({d} of {d})","c"
"0th Granite","花岗岩月{d}日"
"You may need supplies before the coming of winter. To trade with the autumn caravan, you must build a Trade Depot from the Build menu.","在冬日到来前你可能需要一些补给. 为了和秋天的商队交易,\n你必须从\a#D79B2D建造\a菜单里建造一个\a#D79B2D贸易站\a.","s"
"You need something of value to trade. Crafts are an easy way to make a lot of trade goods quickly. Make the appropriate workshop with Workshops -> Crafts.","要交易,你就得有有价值的东西.\n\a#F1E111工艺品\a是最容易且快速制造的大量货物.\n在\a#E811FF工坊\a->\a#E811FF工艺品\a选单中建立合适的工坊.","s"
"An obvious material to use to make the crafts is rock. If you dig down enough layers you will find a near infinite amount of Boulders of various kinds as well as some Rough Gems if you are lucky.","制作这些工艺品的一种明显的材料是岩石.\n如果你挖的足够深, 那么你就会发现近乎无限的各类\a#FFE111矿石\a,\n如果你幸运的话还有一些\a#FFE111宝石原料\a.","s"
"Gems can be Cut at the Jeweler's Workshop. Encrust them on Crafts and other items to add even more value.","\a#C0C0C0可以在\a\a#D79B2D珠宝工坊\a\a#12FECF切割\a\a#FFE111宝石\a\a#C0C0C0. 将他们镶嵌在工艺品或者其他物品上来增加更多的价值.\a","s"
"Just the beginning","这才刚刚开始","c"
"There's a lot more to learn!","要学的还有很多呢!"
"As you enter new menus, there will be information and tips.","信息和提示会在打开新菜单时出现."
